Timestamp,Container,CPU%
2025-04-24 21:37:29,example-edu-10.9.0.65,0.00%
2025-04-24 21:37:29,edu-10.9.0.60,0.00%
2025-04-24 21:37:29,spare-edu-10.9.0.66,0.01%
2025-04-24 21:37:29,root-10.9.0.30,0.00%
2025-04-24 21:37:29,local-dns-10.9.0.53,0.00%
2025-04-24 21:37:29,user-10.9.0.5,0.00%
2025-04-24 21:37:33,example-edu-10.9.0.65,0.00%
2025-04-24 21:37:33,edu-10.9.0.60,0.01%
2025-04-24 21:37:33,spare-edu-10.9.0.66,0.00%
2025-04-24 21:37:33,root-10.9.0.30,0.00%
2025-04-24 21:37:33,local-dns-10.9.0.53,0.00%
2025-04-24 21:37:33,user-10.9.0.5,0.01%
2025-04-24 21:37:36,example-edu-10.9.0.65,0.00%
2025-04-24 21:37:36,edu-10.9.0.60,0.00%
2025-04-24 21:37:36,spare-edu-10.9.0.66,0.14%
2025-04-24 21:37:36,root-10.9.0.30,0.01%
2025-04-24 21:37:36,local-dns-10.9.0.53,0.03%
2025-04-24 21:37:36,user-10.9.0.5,2.32%
2025-04-24 21:37:40,example-edu-10.9.0.65,0.00%
2025-04-24 21:37:40,edu-10.9.0.60,0.01%
2025-04-24 21:37:40,spare-edu-10.9.0.66,0.00%
2025-04-24 21:37:40,root-10.9.0.30,0.00%
2025-04-24 21:37:40,local-dns-10.9.0.53,0.00%
2025-04-24 21:37:40,user-10.9.0.5,0.00%
