Timestamp,Container,CPU%
2025-04-24 21:28:22,example-edu-10.9.0.65,0.15%
2025-04-24 21:28:22,spare-edu-10.9.0.66,0.14%
2025-04-24 21:28:22,edu-10.9.0.60,0.14%
2025-04-24 21:28:22,user-10.9.0.5,0.00%
2025-04-24 21:28:22,local-dns-10.9.0.53,0.15%
2025-04-24 21:28:22,root-10.9.0.30,0.00%
2025-04-24 21:28:26,example-edu-10.9.0.65,0.01%
2025-04-24 21:28:26,spare-edu-10.9.0.66,0.00%
2025-04-24 21:28:26,edu-10.9.0.60,0.00%
2025-04-24 21:28:26,user-10.9.0.5,4.55%
2025-04-24 21:28:26,local-dns-10.9.0.53,0.34%
2025-04-24 21:28:26,root-10.9.0.30,0.00%
2025-04-24 21:28:30,example-edu-10.9.0.65,0.01%
2025-04-24 21:28:30,spare-edu-10.9.0.66,0.00%
2025-04-24 21:28:30,edu-10.9.0.60,0.01%
2025-04-24 21:28:30,user-10.9.0.5,0.00%
2025-04-24 21:28:30,local-dns-10.9.0.53,0.01%
2025-04-24 21:28:30,root-10.9.0.30,0.01%
